bestandsnaam;titel;dossier;datum;entiteiten;relaties;wijk_of_kern
Bijlage 2 Rapport Museum spijkervetstallen - PvE, inpassingsstudie en financiële uitgangspunten - 20240729.pdf;Programma van Eisen en Inpassingsstudie Nieuw Museum Steenwijk in de Spijkervetstallen;Cultuur en Musea;2024-07-29;Stadsmuseum, Hildo Krop museum, Kermis- en Circusmuseum, Historische vereniging Steenwijk e.o., Galerie Steenwijk, Rijksdienst voor het Cultureel Erfgoed (RCE), Draaijer, Spijkervetstallen;Museumvisie ‘Op weg naar een nieuw museum in Steenwijkerland’, Bouwkundige, bouwhistorische en monumentale rapportages Spijkervetstallen en tuin, Technisch Programma van Eisen - vernieuwing museum in de Spijkervetstallen, Ontwerp inpassingsstudie - vernieuwing museum in de Spijkervetstallen, Energieadvies DUMAVA inclusief DUMO - vernieuwing museum in de Spijkervetstallen;Steenwijk Centrum / Binnenstad
Bijlage 2 Rekenresultaten gebruiksfase.pdf;AERIUS Projectberekening gebruiksfase Leeuwte 47;Stikstof;2023-05-02;BJZ.nu, De Wieden, AERIUS Calculator, Natura 2000;;Sint Jansklooster, Moespot en Leeuwte
Bijlage 2 van de regels - Staat van bedrijven.pdf;Bijlage 2: Staat van bedrijfsactiviteiten;Beheersverordening Buitengebied;2013-06-18;;beheersverordening Buitengebied Steenwijkerland, Wet milieubeheer, Inrichtingen- en Vergunningenbesluit (IVB), besluit externe veiligheid inrichtingen, vuurwerkbesluit;
Bijlage 2 van de toelichting - verkennend bodemonderzoek Jan van Nassauweg 12 Giethoorn.pdf;Verkennend bodemonderzoek Jan van Nassauweg 12 Giethoorn;Bestemmingsplanwijziging;2022-04-01;Jan van Nassauweg 12, Melkveebedrijf Batenburg, Rensen Milieu Advies, AvA Milieuonderzoek, Poelsema Veldwerkbureau, Zagros Zuivel;;Giethoorn
Bijlage 2 van de toelichting.pdf;Onderbouwing Beulakerweg 23;Ruimtelijke ontwikkeling;2023-07-25;Beulakerweg 23, Natura 2000;;Giethoorn
Bijlage 2 Voorstel voor de kaders voor het Duurzaamheidsfonds .pdf;Voorstel voor kaders voor Duurzaamheidsfonds;Duurzaamheid;;Kamer van Koophandel, Provincie Overijssel, Ontzorgingsprogramma Maatschappelijk Vastgoed, Sport NL Groen, College;Motie 2022-RAAD-00041 (Samen sterk: Integraal beleid voeren op accommodaties van (sport)verenigingen), ASV (Algemene Subsidieverordening);
Bijlage 2- Programmabegroting 2023 GGD IJsselland.pdf;Programmabegroting 2023 en Meerjarenraming 2024-2026 GGD IJsselland;Programmabegroting GGD;2022-04-01;GGD IJsselland, Gedeputeerde Staten van de provincie, Michiel van Willigen (Voorzitter), Rianne van den Berg (Secretaris);Ontwikkelingenbrief 2023, Bestuursagenda 'Beweging van uit eigen regie';
Bijlage 2- Uitwerking bijeenkomst 18 april 2023.pdf;Uitwerking bijeenkomst gezondheidsbeleid;Gezondheidsbeleid;2023-04-18;GGD IJsselland, woningbouwcoöperaties, huisartsen, GGD, GGZ, sociaal werk;gezondheidsmonitors van de GGD IJsselland;
Bijlage 2. AERIUS-berekeningen.pdf;AERIUS-berekening aanlegfase 11 woningen Scheerwolde;Stikstof;2020-01-21;Gemeente Steenwijkerland;;Scheerwolde
Bijlage 2. Toelichting centrumregeling beschermd wonen en maatschappelijke opvang regio IJssel-Vecht.pdf;Toelichting centrumregeling beschermd wonen en maatschappelijke opvang regio IJssel-Vecht;Beschermd wonen en maatschappelijke opvang;;Regio IJssel-Vecht, Gemeente Zwolle, Zwolse gemeenteraad, Rijk, Bestuurlijk overleg GR;Norm voor Opdrachtgeverschap (NvO), Dienstverleningsovereenkomst, Afspraken uit 2016;
Bijlage 2. Watertoets.pdf;Uitgangspuntennotitie Watertoets Kanaaldijk 5 Giethoorn;Bestemmingsplanwijziging;2021-06-21;Waterschap Drents Overijsselse Delta, Kanaaldijk 5, Provincie Overijssel, Provincie Drenthe;Waterbeheerplan 2016-2021, Beleidsnotitie stedelijk waterbeheer Water Raakt! (2015), Waterwet, Besluit ruimtelijke ordening (artikel 3.1.1);Giethoorn
bijlage 2.1  Ontwerp inpassingsstudie - vernieuwing museum in de Spijkervetstallen.pdf;Schetsontwerp locatie Kalverstraat 11 te Steenwijk;Vernieuwing museum;2024-07-26;Gemeente Steenwijkerland, ar|chitectuur, Arjon Ringerwöle, Kalverstraat 11, Spijkervetstallen;;Steenwijk Centrum / Binnenstad
bijlage 2.2 - Energieadvies DUMAVA inclusief DUMO - vernieuwing museum in de Spijkervetstallen.pdf;Energieadvies Spijkervetstallen;Verduurzaming en DUMAVA-subsidie;2024-05-29;Spijkervetstallen (Kalverstraat 11), Gemeente Steenwijkerland, Exploitatie Partners BV, Dijkoraad, D. Frikken, E.K.R. Rijpstra-Pranger, G. van den Berg, Bas Zomer;DUMO onderzoek Dijkoraad (Bijlage 2);Steenwijk Centrum / Binnenstad
Bijlage 2a - Modelwijzigingsbesluit BenW opheffing GR RSJ en 7e wijziging GR GGD - concept voorjaar 2025.pdf;Modelbesluit B&W opheffing GR RSJ IJsselland en 7e wijziging GR GGD IJsselland;Gemeenschappelijke Regelingen;2025-04-24;GGD IJsselland, RSJ IJsselland, Regionaal Serviceteam Jeugd, Provincie Overijssel, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle;voorstel van het dagelijks bestuur van GGD IJsselland en het bestuur van RSJ IJsselland d.d. 24 april 2025, notitie ‘Samen robuust’ - Uitwerking richtinggevend bestuursbesluit tot verkenning fusie RSJ en GGD IJsselland (versie 9 april 2025), concept-liquidatieplan voor het Regionaal Serviceteam Jeugd IJsselland;
Bijlage 2b - Toelichting Modelbesluit opheffing RSJ en 7e wijziging GR GGD tbv besluit en zienswijze voorjaar 20.pdf;Toelichting Modelbesluit opheffing GR RSJ IJsselland en 7e wijziging GR GGD IJsselland;Zienswijze GR;2025-04-09;GGD IJsselland, Regionaal Serviceteam Jeugd IJsselland (RSJ), Provincie Overijssel (Gedeputeerde Staten), Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Zwartewaterland, Gemeente Zwolle;Notitie 'Samen robuust' - Uitwerking richtinggevend bestuursbesluit tot verkenning fusie RSJ en GGD IJsselland (versie 9 april 2025), Concept liquidatieplan RSJ, Wet verbetering beschikbaarheid Jeugdzorg, Wet gemeenschappelijke regelingen, Wet publieke gezondheid, Jeugdwet, Aanbestedingswet 2012;
Bijlage 2cGGD - concept GR GGD IJsselland (met 7e wijziging).pdf;Concept Gemeenschappelijke Regeling GGD IJsselland;Zienswijze GR;2025-04-09;GGD IJsselland, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Provincie Overijssel, RSJ Regionaal serviceteam jeugd;Wet gemeenschappelijke regelingen, Aanbestedingswet 2012, Algemene wet bestuursrecht, Jeugdwet, Wet Publieke Gezondheid, Wet Kinderopvang, Wet op de lijkbezorging, Gemeentewet;
Bijlage 2cRSJ - Liquidatieplan RSJ.pdf;Liquidatieplan RSJ IJsselland;Opheffing en liquidatie GR RSJ IJsselland;2025-04-04;GGD IJsselland, Regionaal Serviceteam Jeugd (RSJ) IJsselland, Michiel van Willigen, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Zwartewaterland, Zwolle;7e wijziging GR GGD IJsselland, Collegevoorstel tot opheffing van de gemeenschappelijke regeling Bedrijfsvoeringsorganisatie Regionaal Serviceteam Jeugd IJsselland, Document 'Samen robuust', Gemeenschappelijke regeling RSJ IJsselland (artikel 26), Regiovisie, Hervormingsagenda jeugd;
Bijlage 2_Staturen__oorspronkelijk_WoonWens (geanonimiseerd).pdf;Oprichting en statuten Stichting WoonWens Ossenzijl;Sociale woningbouw;2024-05-02;Stichting WoonWens Ossenzijl, Em Marjan Klazien Kroek (notaris);;Ossenzijl
Bijlage 3  Activiteitenplan sloop.pdf;Activiteitenplan sloop complex 389.02, Steenwijk;Sloop en Woningbouw;2021-05-18;Woonconcept, Ecogroen bv, Rijksdienst voor Ondernemend Nederland, Zwolle;Wet natuurbescherming, Habitatrichtlijn, Flora- en Faunawet;
Bijlage 3 - Bodemonderzoek.pdf;Verkennend bodemonderzoek Oldemarktseweg 103 te Steenwijkerwold;Woningbouw;2022-05-31;Oldemarktseweg 103, BJZ.nu, Dumea Milieu, Terra Agribusiness, Normec;Vergunning Wet Milieubeheer 1997, Oprichtingsvergunning 1982, Aanvraag Wet Milieubeheer 2001;Steenwijkerwold en Witte paarden
Bijlage 3 - Brief aan colleges en raden toezending wijziging GR GGD en opheffing RSJ voor zienswijze april 2025.pdf;Onderbrengen RSJ IJsselland bij GGD IJsselland;Zienswijze GR;2025-04-24;GGD IJsselland, RSJ IJsselland, M.W.J. van Willigen, A. Schulting, G. Pruim;Notitie 'Samen robuust', Concept modelbesluit colleges tot opheffing van de GR RSJ IJsselland en de zevende wijziging van de Gemeenschappelijke regeling GGD IJsselland, Concept toelichting op het modelbesluit, Concept-versie aangepaste gemeenschappelijke regeling GGD IJsselland, Concept-liquidatieplan van RSJ IJsselland d.d. 4 april 2025, Wet elektronische publicaties (Wep);
Bijlage 3 - concept GR GGD IJsselland (met 7e wijziging) juli 2025.pdf;Concept Gemeenschappelijke Regeling GGD IJsselland (met 7e wijziging);Gemeenschappelijke Regelingen;2025-07-10;GGD IJsselland, RSJ, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Zwartewaterland, Zwolle, Provincie Overijssel;;
Bijlage 3 - Grondtekening.pdf;Grondtekening percelen Oldemarkt e.o. inzake mogelijke opstelling windturbines;Windenergie;2023-12-14;S.G. Zwerver, Ossenzijlerweg, Markerbroekweg, Gapenburg, IJsselhammerweg, Overlendepad, Kerspelweg, Hagenbroekweg, Weerdijk, De Lende;;Oldemarkt
Bijlage 3 - Indiener 1 en 3 (1).pdf;Zienswijzen Indiener 1 en 3 inzake windmolens;Windenergie;;Indiener 1, Indiener 3;;
Bijlage 3 - Perceellijst.pdf;Perceellijst bij beslissing op bezwaar voorkeursrechtbeschikking;Voorkeursrechtbeschikking;2024-07-17;Gemeente Steenwijkerland, Bezwaarschriftencommissie, Martin Hageman, Bert Hageman, Coöperatieve Rabobank U.A., Aleida Christina Maria van den Hengel, Harm Thomas, De Diaconie Der Hervormde Gemeente Te Oldemarkt-Paasloo, De Kerkvoogdij Der Hervormde Gemeente Te Oldemarkt-Paasloo, Jacob van Veen, Willem van Veen, Frederik Martijn de Haan, Mattheus Bernardus Andreas ter Schure, Rob Bats, Annet ten Hoff;bijlage 5 - raadsbesluit voorkeursrecht 2024-RAAD-00010, bijlage 1 (grondtekening), bijlage 2 (grondtekening);Ijsselham, Oldemarkt, Paasloo en de Basse
Bijlage 3 - Publieksjaarverslag 2024.pdf;Publieksjaarverslag 2024 GGD IJsselland;Gezondheid en Zorg;2024-12-31;GGD IJsselland, Astrid Schulting, Michiel van Willigen, Proscoop, Ingrid van der Veen, Henk Bloten, 113 zelfmoordpreventie, Rob de Geest, Marleen Engelbarts, Gemeente Deventer, Go Ahead Eagles, De Stentor;Integraal Zorgakkoord (IZA), Gezond en Actief Leven Akkoord (GALA);
Bijlage 3 - Vergelijking 8 scenarios museumproject.pdf;Overzicht scenario's Museum Steenwijk;Museumproject;2022-09-01;Blueyard, Dijkoraad, Hildo Krop Museum, Historische Vereniging, Rams Woerthe, Spijkervetstallen, Stadsmuseum, VVV, Nationaal Park Weerribben Wieden;Masterplan nieuw museum (december 2021), Haalbaarheidsonderzoek, Ontwikkeling Stationsgebied, Visie impuls ontwikkeling deelgebied Binnenstad, Verstedelijkingsstrategie Steenwijk;Steenwijk Centrum / Binnenstad
Bijlage 3 Algemene uitgangspunten voor vertaling van de kaders naar een regeling.pdf;Uitgangspunten regeling Noodfonds en Duurzaamheidsfonds;Subsidies;;Maatschappelijke organisaties, Gemeenteraad, College van burgemeester en wethouders;Algemene subsidieverordening (ASV) gemeente Steenwijkerland 2018, Wet Markt en Overheid;
Bijlage 3 bij de toelichting - Ecologisch onderzoek.pdf;Quickscan Wet natuurbescherming nieuwbouw De Erfgenamen te Tuk;Woningbouw;2021-03-15;Woonconcept, Eco Reest BV, Provincie Overijssel, De Erfgenamen, Wethouder Zeefatstraat, Wethouder Slootstraat;;Tuk
Bijlage 3 Ligplaatsenkaart.pdf;Ligplaatsenkaart Woonschepenverordening Steenwijkerland;Woonschepen en Ligplaatsen;2008-12-11;D. Tromp, Banningh;Woonschepenverordening Steenwijkerland 2009;Kalenberg, Wanneperveen, Giethoorn, Blokzijl, Wetering, Groot Verlaat
bijlage 3 nota beantwoording zienswijzen deel1 algemeen definitief.pdf;Nota beantwoording zienswijzen Stadsvisie Steenwijk;Stadsontwikkeling en Woningbouw (Zienswijzen Stadsvisie);2025-10-01;College van B&W, Gemeenteraad, Regio Zwolle, Stedelijk Netwerk Nederland, Bureau Goudappel, Waterschap, Provincie, De Kamp, Spoorzone;Stadsvisie Steenwijk “Stad en Landschap dichtbij”, Afwegingskader wonen en werken, Woonagenda, Verstedelijkingsstrategie Regio Zwolle, Woningmarktonderzoek Steenwijkerland, Achtergrondrapport mobiliteit Stadsvisie Steenwijk, Ambitiedocument spoorzone;Steenwijk Centrum / Binnenstad, Woldmeenthe, Eeserwold, Tuk, Oostermeenthe
BIJLAGE 3 Overzicht kostenverhaal in de Omgevingswet.pdf;Overzicht kostenverhaal in de Omgevingswet;Omgevingswet;;;;
Bijlage 3 Rapport Gemeentearchivaris over mogelijke toetreding GR Collectie Overijssel.pdf;Rapport Gemeentearchivaris over toetreding GR Collectie Overijssel;Toetreding GR Collectie Overijssel;2025-03-13;Collectie Overijssel, Kermis- en Circusmuseum (KCM), Deventer, Zwolle, Roel Lensen (Gemeentearchivaris);Archiefwet 1995, Wet open overheid (WOO);Vollenhove, Blokzijl
Bijlage 3 Reactienota Fietsplan 20230330.pdf;Reactienota concept Fietsplan;Fietsplan / Mobiliteit;2023-03-30;Inwonerspanel Steenwijkerland, PBKH (Plaatselijk Belang Kalenberg-Hoogeweg), BVVS, V.E.N.O., Fietsersbond, VVN Steenwijkerland, Provincie Overijssel, Rijk, CROW, Otterskooi, Oude Kerkweg, Jonenweg, Truilpad, Hoogeweg, Meentheweg, Kalenbergerpad, Weerribben-Rottige Meente, Driewegsluis, Meenthebrug, Overlendepad, N761, Paardenmarkt, Gedempte Diep, Neerwoldstraat, Goeman Borgesiusstraat, Tukseweg, Noordwal, Bentepad, Vollenhoofsedijk, Oude Zuiderzeedijk, Weg van Twee Nijenhuizen;Kernnet Fiets Overijssel, Strategisch Plan Verkeersveiligheid 2030, Beleidsplan Openbare Verlichting, Fietsmonitor 2022, Rapport van de verkeerspsycholoog (Steenwijkerdiep), Strategische mobiliteitsvisie;Jonen en Dwarsgracht, Kalenberg, Giethoorn, Belt-Schutsloot, Oldemarkt, Ossenzijl, Steenwijk Centrum / Binnenstad, Steenwijkerdiep, Vollenhove, Tuk, Steenwijkerwold en Witte paarden, Blokzijl, Kuinre
Bijlage 3 Reactienota Fietsplan.pdf;Reactienota Fietsplan;Verkeer en Vervoer;Onbekend;Inwonerspanel Steenwijkerland, PBKH, BVVS, V.E.N.O., Fietsersbond, VVN Steenwijkerland, Provincie, Rijk, Otterskooi, Oude Kerkweg, Jonenweg, Truilpad, Hoogeweg, Meentheweg, Kalenbergerpad, Natuurverbinding Weerribben-Rottige Meente, Driewegsluis, Meenthebrug (Lange pad), Overlendepad, N761, Steenwijk Noord, Paardenmarkt, Neerwoldstraat, Goeman Borgesiusstraat, Tukseweg, Noordwal, Bentepad, Thij, Oude Zuiderzeedijk, Weg van Twee Nijenhuizen, Vollenhoofsedijk;Concept Fietsplan, Inrichtingseisen fietsvoorzieningen Kernnet Fiets Overijssel, Strategisch Plan Verkeersveiligheid 2030, Fietsmonitor 2022, Beleidsplan Openbare Verlichting, Rapport van de verkeerspsycholoog over het Steenwijkerdiep, Strategische mobiliteitsvisie, Landelijke ontwerprichtlijnen van het CROW;Jonen en Dwarsgracht, Kalenberg, Giethoorn, Belt-Schutsloot, Oldemarkt, Ossenzijl, Steenwijk Centrum / Binnenstad, Steenwijkerdiep, Vollenhove, Tuk, Steenwijkerwold en Witte paarden, Blokzijl, Kuinre
Bijlage 3 Rekenresultaten bestaande N-emissie veroorzakende activiteiten.pdf;AERIUS Projectberekening N-emissie Leeuwte 47, Sint Jansklooster;Stikstof;2023-05-02;BJZ.nu, AERIUS, Natura 2000, De Wieden;;Sint Jansklooster, Moespot en Leeuwte
Bijlage 3 TOE Update Aerius januari 2023.pdf;Memo Aeriuscalculatie Dwarssloot Oost 6, Zuidveen;Stikstof;2023-01-17;Dwarssloot Oost 6, Zuidveen, Bureau Biota, G. Milder-Mulderij, mw. Sollie-van 't Hag, Zuidema Omgevingsrecht, Provincie Overijssel;Wet Stikstofreductie en Natuurverbetering, Wet natuurbescherming, Toekomstbestendig parkeren (CROW, 2018), Checklist aanvraagvereisten vergunningaanvragen stikstof van de Provincie Gelderland;
Bijlage 3 van de toelichting - ecologische quickscan.pdf;Ecologische quickscan uitbreiding melkveehouderij Jan van Nassauweg 12 Giethoorn;Verduurzaming melkveehouderij;2022-02-25;Rensen Milieu Advies VOF, F. Rensen, Florauna Natuuradvies, Nicole Schuurmans, Jan van Nassauweg 12, Gemeente Steenwijkerland;Beheersverordening Buitengebied Steenwijkerland 2014;Giethoorn
Bijlage 3 van de toelichting.pdf;Onderbouwing Beulakerweg 165;Ruimtelijke ordening;2023-07-25;Beulakerweg 165;Watertoets Beulakerweg 165;Giethoorn
Bijlage 3- Brief zienswijze op programmabegroting 2023 en meerjarenraming 2024-2026 GGD IJsselland.pdf;Zienswijze ontwerp programmabegroting 2023 en meerjarenraming 2024-2026 GGD IJsselland;Zienswijze GR;2022-05-01;GGD IJsselland, Algemeen bestuur GGD IJsselland, Rijk, Colinde Heijink, Annet ten Hoff, Rob Bats;Brief 5 april 2022 (ontwerp programmabegroting), Ontwerp programmabegroting 2023 en meerjarenraming 2024-2026 GGD IJsselland, Landelijke coalitieakkoord 2021-2025 'Omzien naar elkaar, vooruitkijken naar de toekomst';
Bijlage 3- Uitwerking bijeenkomst 10 mei 2023.pdf;Uitwerking bijeenkomst gezondheidsbeleid Steenwijkerland;Gezondheidsbeleid;2023-05-10;Wethouder Trijn Jongman, De Meenthe, Stichting Regenboog Steenwijkerland, Tactus Verslavingszorg, Samen met Ana, Denktank 60+ Noord, Raad van Ouderen, GGD IJsselland, Sportservice Zwolle, Onwijs Vitaal leefstijl & Vitaliteit Coaching, Huisartsenpraktijk De Allee, Sociaal Werk de Kop, NoordWest Groep, RIBW Overijssel, Belangenvereniging Vollenhove Stad, Fysiotherapie de Bruijn, Irene’s coachpraktijk, De Kindervilla, Stichting Suïcidepreventie, Vrijwilligers Informatie Punt, Fysiotherapie Steenwijk, Vizier, Gezondheidscentrum de Allee, Stichting Jy, Adviesraad Sociaal Domein;Gezondheidsmonitor volwassenen en ouderen GGD IJsselland, Jongerenmonitor GGD IJsselland, Kindermonitor GGD IJsselland, Woningmarktonderzoek Steenwijkerland (2021-2031-2041), Peiling veiligheid (2022) van het inwonerspanel Steenwijkerland;
Bijlage 3. Erfinrichtingsplan.pdf;Erfinrichtingsplan agrarisch bedrijf aan de Kanaaldijk;Erfinrichting;;Kanaaldijk, Agrarisch bedrijf;;
Bijlage 3. Verkennend bodemonderzoek.pdf;Verkennend bodemonderzoek Brink 26 Scheerwolde;Woningbouw;2019-05-03;Grondslag BV, KIWA, Omgevingsdienst IJsselland, Provincie Overijssel, Gemeente IJsselham, Brink 20, Brink 22, Brink 24, Brink 26;;Scheerwolde
Bijlage 3a Rapportage Verkeersonderzoek zuidelijke ontsluiting Blokzijl samengevoegd.pdf;Verkeersonderzoek Zuidelijke ontsluiting Blokzijl;Verkeer en Infrastructuur;2025-11-12;Goudappel BV, Gemeente Steenwijkerland, Marknesserweg, Kanaalweg;Stadsvisie Blokzijl (concept), oktober 2024;Blokzijl
Bijlage 3b Ontwerpnota zuidelijke ligging ontsluitingsweg Blokzijl (1).pdf;Aanvullende nota zuidelijke ligging ontsluitingsweg Blokzijl;Infrastructuur en Verkeer;2025-11-12;Goudappel BV, Rico Andriesse, Zuiderzeeweg, Kanaalweg, Vollenhoofsedijk;Verkeersonderzoek Zuidelijke Ontsluiting Blokzijl, Bomen-effectanalyse (BEA), 022165.20251 104.T01.01.0 3-schetsvoorstel.pdf, Stadsvisie;Blokzijl
Bijlage 3c Ontwerpschets Goudappel.pdf;Schetsvoorstel zuidelijke rondweg Blokzijl;Infrastructuur;2025-11-12;Goudappel, Remon Siegel, Gemeente Steenwijkerland, Kanaalweg, Zuiderzeeweg, Vollenhoofsedijk, Scheepsdiep;;Blokzijl
Bijlage 3_uitnodiging en verslag inloopavond omwonenden.pdf;Uitnodiging en verslag inloopavond starters chalets Ossenzijl;Woningbouw;2024-05-22;Werkgroep Wonen, Plaatselijk Belang Ossenzijl, Dorpshuis de Slinger, Gemeente Steenwijkerland, Iris Nauta, Henny van Rij, Bas Broekhuizen, Jacob Plat, Jarno Rotink, Monique Rotink, Bertha Veenstra, Stichting WoonWens Ossenzijl, SBB, G.B. Kooijstraat, De Korten, Burg. van der Veenweg;Tijdelijk woonbesluit;Ossenzijl
Bijlage 4  Stikstofberekeningen.pdf;Adviesrapport Stikstofberekening verkaveling Jan Steenstraat, Steenwijk;Stikstof;2021-09-14;Woonconcept, Ecogroen bv, Jan Steenstraat, Natura 2000-gebied De Wieden, Natura 2000-gebied Weerribben, Natura 2000-gebied Holtingerveld, A. Gerritsma, A. Alberts, B. Reijner;;
Bijlage 4 - concept Lquidatieplan RSJ.pdf;Concept Liquidatieplan RSJ IJsselland;Opheffing Gemeenschappelijke Regeling;2025-04-09;RSJ IJsselland, GGD IJsselland, Michiel van Willigen, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle;Samen robuust, 7e wijziging GR GGD IJsselland, gemeenschappelijke regeling Bedrijfsvoeringsorganisatie Regionaal Serviceteam Jeugd IJsselland;
Bijlage 4 - Infoplaat_museumplan_DEFnw.pdf;Infoplaat Museumplan Kunst- en Erfgoedhuis;Museumplan;;Stadsmuseum Steenwijk, Hildo Krop Museum, Kermis- en Circusmuseum, Historische vereniging Steenwijk, Galerie Steenwijk;;
Bijlage 4 - Kerngegevens_2024_Steenwijkerland.pdf;Kerngegevens GGD IJsselland 2024 gemeente Steenwijkerland;Volksgezondheid en Zorg;2025-02-01;GGD IJsselland, Icebear, Regio IJsselland, Regio Oost;Begrotingen GGD IJsselland, Productenboek GGD IJsselland, WOO-verzoek Icebear, Voorstel GGD werkwijze bodemverontreinigingen PFAS, Handreiking arseen in bodem, GALA, IZA;
Bijlage 4 - Perceellijst.pdf;Perceellijst bij voorkeursrechtbeschikking;Vestiging voorkeursrecht;2024-01-08;College van burgemeester en wethouders, Kadaster, Coöperatieve Rabobank U.A., De Diaconie Der Hervormde Gemeente Te Oldemarkt-Paasloo, De Kerkvoogdij Der Hervormde Gemeente Te Oldemarkt-Paasloo, Gemeente Steenwijkerland, Marco de Graaf (gemeentesecretaris), Rob Bats (burgemeester);Voorkeursrechtbeschikking (besluit), Bijlage 1 (besluit), Bijlage 2 (grondtekening);Ijsselham, Oldemarkt, Paasloo en de Basse
Bijlage 4 - Quickscan natuurwaarden.pdf;Natuurtoets Oldemarktseweg 103, Steenwijkerwold;Woningbouw;2022-04-27;BJZ.nu, M. ten Klooster, S. van Staa, T. Dalderup, Oldemarktseweg 103;;Steenwijkerwold en Witte paarden
Bijlage 4 - Raadsbesluit 2024-RAAD-00010 inclusief bijlagen.pdf;Vestiging voorkeursrecht op 12 percelen in Oldemarkt;Voorkeursrecht;2024-03-26;College van burgemeester en wethouders, Kadaster, De Lende, Ossenzijlerweg;Voorstel van burgemeester en wethouders 2023-RAAD-00010 (06-02-2024), Collegebesluit voorkeursrechtbeschikking (09-01-2024);Oldemarkt
Bijlage 4 - Zienswijze indiener 2.pdf;Zienswijze voorkeursrecht voor windmolens;Windenergie;2024-02-29;Natura 2000, Energie coöperatie EN, Gemeenteraad Steenwijkerland;;Oldemarkt, Ossenzijl
Bijlage 4 bij de toelichting - Inrichtingstekening.pdf;Inrichtingstekening Wethouder Slootstraat / De Erfgenamen, Bergstein;Ruimtelijke inrichting;2022-12-16;Woonconcept, Roelofsgroep, Wethouder Slootstraat, De Erfgenamen, Bergstein, Wethouder Zeefatstraat, De Heerlijkheid, Tukseweg, Weldadigheid;;
BIJLAGE 4 Financiele bijdragen tbv gebiedsontwikkeling.pdf;Uittreksel Omgevingswet: Financiële bijdragen gebiedsontwikkeling;Gebiedsontwikkeling;2024-01-01;College van burgemeester en wethouders, Gedeputeerde staten, Minister van Binnenlandse Zaken en Koninkrijksrelaties;Omgevingswet;
bijlage 4 Nota beantwoording zienswijzen deel 2 zienswijzen en reacties gebundeld definitief .pdf;Nota van beantwoording zienswijzen deel 2;Zienswijzen Stadsvisie Steenwijk;Onbekend;CBS, Planbureau voor de Leefomgeving, Provincie Overijssel, Rijkswaterstaat, Waterschap, Theater De Meenthe, Poppodium De Buze, Bewonersvereniging binnen de Veste, Ondernemersvereniging Steenwijk Vestingstad, Bedrijventerrein Hooidijk, Bedrijventerrein Dolderweg, Station Steenwijk, Steenwijker Aa, Kanaal Beukers-Steenwijk;Stadsvisie, Ambitiedocument Spoorzone (2024), Woningmarkt-onderzoek (2025), Uitvoeringsagenda binnenstad Steenwijk, Lokale Inclusie agenda, VN verdrag Handicap, Wet Participatie Decentrale Overheden, Verstedelijkingsstrategie;Steenwijk Centrum / Binnenstad, Woldmeenthe, Oostermeenthe, Steenwijkerdiep, Ossenzijl
Bijlage 4 Onderzoeksrapport 2016 .pdf;Onderzoeksrapport Scenario's voor de toekomst van het gemeentearchief Steenwijkerland;Gemeentearchief;2016-03-01;Roel Lensen, Gemeentearchief Steenwijkerland, Nationaal archief, HCO;Archiefwet 1995, Wet Revitalisering Generiek Toezicht, Evaluatie raadsbesluit;
Bijlage 4 Rekenresultaten verschilberekening toekomstige gebruiksfase referentiesituatie.pdf;AERIUS Projectberekening verschilberekening Leeuwte 47;Stikstof;2023-05-02;BJZ.nu, De Wieden, Natura 2000;;Sint Jansklooster, Moespot en Leeuwte
Bijlage 4 richtlijnen monumentencommissie inclusief wijziging PV-panelen 2023 def.pdf;Richtlijnen/aandachtspunten welstands- en monumentencommissie versie 2023;Welstand en Monumentenzorg;2023-01-01;Welstands- en monumentencommissie, Gemeente, College van burgemeester en wethouders;;
Bijlage 4 Te slopen bebouwing en saneringsopgave.pdf;Te slopen bebouwing en saneringsopgave;Sloop en sanering;;;;
Bijlage 4- Addendum begroting GGD IJsselland 2023.pdf;Addendum begroting GGD IJsselland 2023;Begroting GGD IJsselland;2022-04-15;GGD IJsselland, Algemeen bestuur GGD, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Zwartewaterland, Zwolle;Programma begroting 2023, Masterplan JGZ – Ontschotten financiering Jeugdgezondheidszorg, Begroting 2021, Begroting 2022;
Bijlage 4. Omvang recreatie activiteiten.pdf;Omvang recreatie activiteiten Hoeve Montigny;Recreatie;;Hoeve Montigny, Kanaaldijk 5;;Giethoorn
